Outcome,Wound Area V2 vs V1,Wound Area V3 vs V1,r2,Healing Rate,Visit 1 - Wound area in mm2,Visit 2 - Wound area in mm2,Visit 3 - Wound area in mm2,Visit 1 - Total cell number (exudate),Visit 2 - Total cell number (exudate),Visit 3 - Total cell number (exudate),Exudate Cell n r2,Exudate Cell n. slope,Visit 2-Protein in wou dressing ,visit 3-Protein in wou dressing 3,Visit 2 -  number of M1 Exudate,Visit 2-CD105 ,Visit 3-CD105,CD105 Slope,Collagen slope,V1 +,V1 -,V2 +,V2 -,V3 +,V3 -,Age,BMI,Wound duration at day 0,visit 1-IL-6 Exudate,visit 2-IL-6 Exudate,visit 3-IL-6 Exudate,visit 2-IL-6 dressing,visit 3-IL-6 dressing
26,-0.466666667,0,0.88,-87.4,15,8,15,700000,3428,9333,0.7436,-345334,9.209677,69.16935,2,0,0.25,54,2.246,0,100,0,100,0,100,75,22.2,75,,106.871,168.6855,,220.0968
26,-0.860262009,-1,0.7432,-16.51,229,32,0,2666666,150666,540,0.7921,-1000000,9.814516,,42,0.583333333,0.463414634,-199,-7.9315,100,0,100,0,100,0,59,37.2,77,14.33065,224.8952,226.5081,278.1613,212.4355
26,-0.132467532,-0.090909091,,,385,334,350,52173,6285,162424,0.4719,55126,128.6451613,,36,0.8,1,25,3.4355,76,24,78,22,58,42,82,18.5,499,14.13954,103.121,150.0968,85.74194,10.04989
26,-0.20035461,-0.033333333,,,2820,2255,2726,300000,1000000,,1,700000,14.408,,14,0,0.021428571,,,87,13,95,5,0,0,59,40,396,62.40223,2.893975,105.6997,40.0405,6.146255
26,1,1,,,8,66,31,467857,346875,9032,,,,,6,0.8,0.15,,,,,,,,,61,35,115,,,,,
26,-0.52892562,-0.768595041,0.8434,17.73,242,114,56,293333,332500,332500,1,39167,,15.41935,120,1,0.428571429,3,-20.109,100,0,100,0,100,0,74,35.3,69,,,,,0.08871
26,-0.382022472,-0.426966292,0.5564,14.93,178,110,102,131250,60000,106666,0.1154,-12292,,14.00806,2,1,0.428571429,,,100,0,100,0,100,0,85,34.3,14,,,10.41935,,3.524194
26,-0.971962617,0.130841121,0.859,-440.81,107,3,121,1333,14218,28351,0.9993,13509,39.6129,8.16129,29,0.5,0.933333333,0,-23992,100,0,100,0,100,0,56,45.9,140,,94.16935,167.4311,83.8871,105.0161
26,0.17,,,,21.2,17.7,,,,,,,,,1,3,90,87,-1.9758,100,0,100,0,0,0,75,30.5,12,,,,,
26,-0.531914894,-0.70212766,,,47,22,14,20000,9333.3,,1,-10667,19.93548,10.58065,20,0.285714286,0.961538462,-13,-11.722,100,0,100,0,100,0,34,28.6,76,73.28226,100.6613,,193.6048,139.3306
26,-0.253333333,0.4,,,1875,1400,2625,8750000,24000,1290322,,,,,40,0.285714286,1,,,100,0,100,0,100,0,53,32.6,78,,,,,
26,-0.108744395,0.031390135,,,1784,1590,1840,40000,33333,600000,,,,,5,0.8,1,,,27,63,70,30,50,50,84,25.6,137,,,,,
26,1,1,,,203,639,546,23333.33,3333,2000,,,,,16,0.916666667,0.5,,,10,90,58,42,43,57,83,36.5,23,,,,,
26,0.38,,0.2272,-12.72,3000,1875,,,,,,,,,6,100,66,-34,-0.8669,100,0,100,0,0,0,54,25.5,29,,,,,
26,0.333958724,0.77673546,,,533,711,947,125000,95625,100000,0.6221,-12500,0.66129,8.604839,32,0,1,,,100,0,100,0,100,0,74,39.1,844,137.3952,108.8065,155.5806,119.8548,216.4274
26,0.237574553,0.15805169,0.856,-127.33,1006,1245,1165,125000,12903225.8,48000,300000,-38500,6.91129,19.65323,5,0,0.333333333,73,0.2419,100,0,100,0,100,0,78,20.9,161,,,,,
26,0.378440367,0.887614679,,,872,1202,1646,1866666,10000,6451.6,0.7514,-930107,2.879032,1.58871,41,0,0,,,100,0,100,0,100,0,79,27.7,284,,117.7177,170.379,92.83871,148.4839
26,0.080617496,0.068610635,0.1376,-22.1,583,630,623,15333.3,38000,79047.6,0.973,31857,12.75806452,9.572580645,7,0.666666667,0.80952381,-20,95,10,90,17,83,12,88,92,18.4,240,131.4274,137.9194,148.4839,326.5081,170.379
26,-0.101449275,-0.293478261,0.9998,-20.5,276,248,195,175000,2100000,1666666.6,,,,,12,0.5,0.692307692,-66,9,100,0,100,0,100,0,80,35.1,16,,,,,
26,0.231213873,0.086705202,,,173,213,188,12500000,10000000,1666666.6,0.9119,-5000000,7.919355,10.90323,9,0.5,1,-100,2,100,0,0,100,0,100,82,25.2,128,271.2661,231.871,168.2016,305.5,274.8952
26,-0.289308176,-0.503144654,,,159,113,79,53333.3,625000,468750,0.4942,207708,10.05645,,1,0.033333333,0.9,63,12,60,40,100,0,100,0,89,21.4,104,247.0323,195.2984,212.6774,271.0645,213.8871
26,0.446280992,-0.330578512,0.0093,-0.49,605,875,405,666666,1000000,500000,0.1071,-83333,14.33065,,7,0.166666667,0.96969697,,,100,0,100,0,100,0,52,50.2,199,342.7984,224.9758,270.9839,228.8871,134.0887
26,0.122302158,0.208633094,,,139,156,168,10000,151515,29411,0.016,9705.5,43.60483871,42.43548387,6,1,0.666666667,23,20,100,0,100,0,100,0,85,19.9,61,360.5,276.9516,228.5645,244.25,298.121
26,0.39,1,0.6424,108.63,93.6,57,0,,,,,,,,,,,,,100,0,100,0,0,0,59,40.3,40,,,,,
26,-0.443722944,-0.772727273,0.8881,-135,462,257,105,121212,428571,6060,0.0695,-57576,45.82258065,29.61290323,100,0.5,0.972972973,14,5,100,0,100,0,100,0,70,38,60,335.5,205.2984,195.6613,212.7177,239.6532
26,-0.192592593,-1,0.1426,15.2,270,218,0,2941,149000,7142,0.0006,2100.5,63.44355,29.6129,1,0.944444444,0.875,35,100,100,0,100,0,100,0,77,27.5,56,276.9919,213.2016,154.4113,156.9113,182.5968
